//U V R G B Intensity
0.02987897 0.03452878 181 173 194 2446
0.02926899 0.03447544 167 164 185 2075
0.02612838 0.03456375 167 164 185 1375
0.02467697 0.03451822 167 164 185 1335
0.02120121 0.03458618 167 164 185 1103
0.02004154 0.03456658 111 112 132 1153
0.01745010 0.03462111 111 112 132 1039
0.00987883 0.03469372 76 81 100 964
0.00853362 0.03475746 76 81 100 1010
0.00317270 0.03473328 71 76 98 971
-0.00258574 0.03477409 71 76 98 1067
-0.00659201 0.03489535 75 74 106 1221
-0.01197964 0.03496846 75 74 106 1089
-0.01389112 0.03487395 68 67 101 1200
-0.01520022 0.03495003 68 67 101 1157
-0.01760606 0.03502087 68 67 101 1210
-0.01803976 0.03497393 68 67 101 1250
-0.02118800 0.03507950 68 67 101 1278
-0.02485923 0.03502146 72 71 102 1271
-0.02603535 0.03510923 72 71 102 1260
-0.02738062 0.03507332 72 71 102 1435
-0.03321888 0.03510683 102 102 128 5432
-0.03517359 0.03511733 102 102 128 15921
-0.03605839 0.03513072 102 102 128 20950
-0.03707571 0.03513246 102 102 128 24546
-0.03835801 0.03521084 147 148 166 27285
-0.03918974 0.03522890 147 148 166 27546
-0.04025962 0.03522602 147 148 166 27114
-0.04111815 0.03524172 147 148 166 25650
0.04645134 0.03328197 126 114 136 27853
0.04511589 0.03325575 126 114 136 27321
0.04375369 0.03332717 126 114 136 27850
0.04273636 0.03332891 126 114 136 28789
0.04163037 0.03331374 126 114 136 27846
0.04066618 0.03332015 126 114 136 27403
0.03946327 0.03330558 126 114 136 25603
0.03825057 0.03338096 126 114 136 24789
0.03765757 0.03332007 181 173 194 24157
0.03634896 0.03339613 181 173 194 22335
0.03522542 0.03338854 181 173 194 19582
0.03447314 0.03341358 181 173 194 15967
0.03292580 0.03346871 181 173 194 10975
0.03257153 0.03342875 181 173 194 7203
0.03158053 0.03343280 181 173 194 4510
0.02904219 0.03349199 181 173 194 2303
0.02145177 0.03354498 167 164 185 1189
0.01804564 0.03360995 111 112 132 1089
0.01617033 0.03362743 111 112 132 1046
0.01464929 0.03358490 111 112 132 1096
0.01055378 0.03368949 76 81 100 1028
0.00883726 0.03362100 76 81 100 1057
0.00224722 0.03377951 71 76 98 964
0.00219402 0.03367520 71 76 98 1000
0.00042500 0.03380166 71 76 98 992
-0.00497974 0.03378270 75 74 106 1192
-0.00594395 0.03378911 75 74 106 1239
-0.01083449 0.03382386 75 74 106 1128
-0.01318732 0.03379967 68 67 101 1085
-0.01627533 0.03389259 68 67 101 1146
-0.01715961 0.03390602 68 67 101 1200
-0.01858473 0.03396279 68 67 101 1335
